age,sexe,taux,situationFamiliale,nbEnfantsAcharge,seconde_voiture,immatriculation
27041,70,F,531,En Couple,3,true,6934 VP 32
27042,76,M,419,En Couple,1,true,7031 LW 52
27044,44,M,494,En Couple,3,true,4101 SI 34
27063,18,M,450,En Couple,0,true,142 TO 19
27064,55,M,711,En Couple,0,true,8516 CB 15
27092,38,M,425,En Couple,2,true,4761 YK 62
27096,37,F,1160,En Couple,3,true,2792 TJ 70
27100,45,F,1231,En Couple,3,true,7499 LJ 30
27105,44,M,849,En Couple,4,true,2203 RN 84
27114,36,M,1382,En Couple,2,true,8699 OQ 53
27127,80,M,489,En Couple,4,true,9924 WV 39
27146,56,M,410,En Couple,4,true,1523 QL 60
27155,25,M,426,En Couple,0,true,6172 QW 51
27169,19,M,431,En Couple,2,true,8994 WF 91
27173,71,M,460,En Couple,3,true,7899 OK 64
27191,67,M,585,En Couple,1,true,9805 RK 18
27198,28,M,216,En Couple,4,true,1635 PV 17
27204,29,Masculin,521,En Couple,0,true,3365 TA 77
27215,24,M,447,En Couple,4,true,7320 DD 22
27229,35,M,208,En Couple,1,true,7127 YC 93
27232,53,F,418,En Couple,3,true,8011 BD 98
27236,41,M,508,En Couple,0,true,5730 SL 21
27240,40,F,506,En Couple,1,true,2019 XT 73
27255,45,M,1368,En Couple,2,true,3767 IY 35
27261,46,F,584,En Couple,4,true,1030 ZQ 63
27265,53,M,239,En Couple,2,true,695 BJ 10
27271,59,M,404,En Couple,3,true,5064 CC 53
27278,21,M,1288,En Couple,2,true,4316 JN 36
27297,38,Homme,1088,En Couple,3,true,3173 WJ 21
27301,50,M,727,En Couple,2,true,3767 LX 10
27308,38,M,213,En Couple,1,true,6858 YA 80
27310,56,M,1131,En Couple,3,true,2714 RJ 80
27314,52,M,822,En Couple,1,true,9598 VS 26
27328,26,M,986,En Couple,1,true,5729 GN 12
27332,24,F,249,En Couple,0,true,1595 VD 63
27349,38,M,1318,En Couple,2,true,8283 EJ 52
27353,22,M,467,En Couple,4,true,8016 OL 52
27359,60,F,702,En Couple,0,true,7376 GK 38
27362,26,M,936,En Couple,2,true,8666 EU 26
27374,54,M,400,En Couple,2,true,1376 GB 44
27386,42,F,916,En Couple,0,true,8720 NL 41
27395,73,M,1033,En Couple,1,true,7293 VD 28
27405,26,M,467,En Couple,1,true,3908 ZC 25
27408,18,M,157,En Couple,0,true,8989 RJ 48
27412,58,M,441,En Couple,3,true,9982 LI 66
27419,46,M,517,En Couple,2,true,6665 SX 60
27420,18,M,202,En Couple,4,true,2381 XG 71
27421,67,M,435,En Couple,0,true,2585 AU 49
27437,22,Femme,1255,En Couple,1,true,7414 ZE 17
27439,24,M,822,En Couple,2,true,7412 QB 53
27441,41,M,572,En Couple,0,true,1920 DC 83
27447,58,M,1330,En Couple,1,true,3794 TO 50
27453,59,F,1138,En Couple,0,true,9931 BX 38
27457,51,M,436,En Couple,1,true,2897 FI 21
27462,19,F,247,En Couple,2,true,7714 HY 35
27468,25,M,234,En Couple,0,true,2997 LQ 23
27477,39,F,444,En Couple,0,true,5426 ZL 62
27485,56,M,561,En Couple,2,true,653 JB 89
27486,53,M,453,En Couple,4,true,691 GT 69
27491,20,M,531,En Couple,0,true,123 JF 82
27502,77,M,443,En Couple,4,true,9712 RL 72
27525,21,M,447,En Couple,2,true,2274 FE 49
27526,62,M,986,En Couple,1,true,8264 ZV 50
27547,25,F,597,En Couple,1,true,2638 SZ 39
27552,48,M,173,En Couple,2,true,8116 RN 34
27553,50,M,169,En Couple,1,true,9188 LD 36
27561,26,M,589,En Couple,1,true,1358 GR 74
27565,18,M,150,En Couple,3,true,4754 GU 29
27566,34,M,439,En Couple,0,true,5452 MU 41
27569,21,M,440,En Couple,2,true,7397 HB 80
27588,51,M,578,En Couple,4,true,79 LB 74
27604,27,F,914,En Couple,2,true,7109 NP 46
27609,40,M,420,En Couple,0,true,726 ON 26
27613,27,M,416,En Couple,3,true,7820 YY 74
27630,32,M,516,En Couple,2,true,1289 CU 68
27638,20,M,403,En Couple,1,true,1992 HA 24
27643,22,M,494,En Couple,1,true,8399 IT 72
27646,27,M,1310,En Couple,2,true,7842 XI 19
27672,21,F,231,En Couple,4,true,2469 BH 56
27683,58,M,491,En Couple,1,true,8132 JY 32
27692,44,F,421,En Couple,4,true,8048 ZP 92
27694,69,M,576,En Couple,1,true,5064 RF 44
27697,35,F,1097,En Couple,1,true,9681 UM 72
27704,39,M,164,En Couple,1,true,6682 UK 23
27710,43,M,578,En Couple,3,true,3929 IH 90
27715,19,M,-1,En Couple,2,true,2077 OX 24
27719,22,M,508,En Couple,3,true,9276 OJ 78
27724,34,M,573,En Couple,2,true,9322 YP 58
27726,30,F,240,En Couple,0,true,4101 LB 28
27754,25,M,435,Marié(e),0,true,4737 IL 95
27771,81,M,1160,En Couple,1,true,2162 WR 63
27785,24,F,526,En Couple,0,true,8816 YD 98
27789,56,M,427,En Couple,4,true,7402 LB 94
27796,18,M,1143,En Couple,3,true,303 FO 91
27797,38,M,464,En Couple,4,true,9509 FE 80
27812,18,M,934,En Couple,3,true,5061 AC 57
27813,61,F,512,En Couple,0,true,5221 WI 45
27838,22,F,867,En Couple,2,true,5215 JP 24
27844,19,M,496,En Couple,1,true,8531 KS 58
27846,36,M,222,En Couple,0,true,4708 YX 31
27848,18,M,463,En Couple,2,true,8100 HG 76
27850,28,M,466,En Couple,0,true,785 AB 14
27856,-1,M,923,En Couple,0,true,1708 UT 97
27857,76,M,594,En Couple,1,true,3644 ID 17
27859,24,M,1089,En Couple,1,true,888 ZZ 66
27879,23,M,444,En Couple,2,true,3715 DX 74
27888,39,M,498,En Couple,2,true,7278 ZW 68
27904,18,M,802,Marié(e),2,true,6348 VW 12
27909,28,M,534,En Couple,2,true,7647 FJ 42
27911,47,M,222,En Couple,1,true,2131 UV 24
27922,38,M,1236,En Couple,3,true,980 HM 77
27923,29,M,492,En Couple,2,true,7567 QD 54
27937,77,M,480,En Couple,3,true,3790 VF 84
27938,45,M,420,En Couple,2,true,6374 FG 68
27942,41,M,453,En Couple,4,true,1980 UR 64
27948,28,M,454,En Couple,3,true,9905 JZ 13
27959,65,M,492,En Couple,2,true,3629 YD 56
28002,26,M,1243,En Couple,1,true,9429 ND 62
28008,81,M,233,En Couple,1,true,9237 KN 58
28015,59,F,471,En Couple,0,true,2391 AT 88
28028,45,M,1032,En Couple,0,true,2587 XF 47
28031,22,F,576,En Couple,1,true,9683 ON 74
28032,75,M,493,En Couple,0,true,8298 LF 81
28040,75,M,190,En Couple,2,true,8235 IO 65
28041,62,M,1294,En Couple,2,true,7740 IM 92
28042,46,F,1233,En Couple,3,true,24 LR 55
28043,18,M,1260,En Couple,1,true,3103 KX 70
28044,25,F,214,En Couple,1,true,8533 PK 71
28060,63,M,429,En Couple,4,true,5798 VX 79
28064,32,M,418,En Couple,4,true,9699 GI 86
28075,33,M,574,En Couple,1,true,4745 QM 67
28078,49,M,537,En Couple,2,true,3278 FQ 24
28079,33,F,1098,En Couple,2,true,8547 RN 53
28084,20,M,188,En Couple,2,true,4947 AB 93
28086,52,M,1276,En Couple,2,true,1707 DY 79
28099,51,M,505,En Couple,1,true,6267 SZ 73
28106,53,M,802,En Couple,2,true,8718 IW 57
28112,24,M,720,En Couple,1,true,8922 TH 49
28120,71,M,541,En Couple,0,true,3698 BA 80
28124,46,F,1305,En Couple,2,true,8551 WM 65
28127,59,M,1152,En Couple,0,true,5199 MQ 24
28140,31,M,942,En Couple,4,true,1223 OP 31
28150,22,M,160,En Couple,4,true,1869 SS 70
28152,19,M,208,En Couple,3,true,126 NP 45
28168,68,F,186,En Couple,4,true,8249 AL 54
28169,75,M,590,En Couple,3,true,4662 UD 28
28171,39,M,178,En Couple,3,true,6395 HU 32
28177,44,M,579,En Couple,0,true,9303 MO 66
28178,30,F,249,En Couple,0,true,6138 HE 14
28215,25,F,189,En Couple,2,true,4179 IP 62
28226,29,M,175,En Couple,4,true,1213 SE 96
28232,82,M,411,En Couple,2,true,4147 UD 73
28233,30,M,249,En Couple,2,true,5438 RL 45
28241,45,F,711,En Couple,0,true,8719 UY 39
28250,75,M,213,En Couple,2,true,7128 EY 75
28261,55,F,412,En Couple,0,true,5029 RG 71
28262,43,M,444,En Couple,0,true,9353 CI 66
28264,37,F,465,En Couple,1,true,6149 OU 58
28265,32,M,212,En Couple,4,true,4418 YN 73
28268,55,M,1224,En Couple,2,true,3519 KI 54
28272,34,M,474,En Couple,1,true,604 QQ 34
28273,20,M,554,En Couple,0,true,9036 OU 91
28283,56,M,520,En Couple,1,true,4174 BR 13
28291,36,M,449,En Couple,0,true,1438 PH 16
28295,43,M,197,En Couple,0,true,8182 TE 19
28296,46,M,1052,En Couple,1,true,6383 MP 91
28297,33,M,423,En Couple,0,true,9032 ER 53
28300,24,M,736,En Couple,0,true,9058 DD 20
28310,21,M,780,En Couple,3,true,1709 WW 94
28315,41,M,904,En Couple,2,true,6500 SB 52
28320,29,M,171,En Couple,3,true,5770 FW 82
28329,22,M,427,En Couple,4,true,3357 AO 27
28337,48,F,193,En Couple,2,true,7879 EN 47
28344,71,M,445,En Couple,4,true,6393 RV 71
28346,38,M,1212,En Couple,1,true,1684 DC 49
28347,65,F,542,En Couple,3,true,8986 FB 21
28349,30,M,722,En Couple,0,true,1422 AI 78
28353,21,M,574,En Couple,4,true,9758 GD 70
28359,39,F,515,En Couple,3,true,1315 UW 26
28360,30,M,559,En Couple,3,true,3390 SV 65
28378,81,M,414,En Couple,4,true,516 AX 14
28385,58,M,1144,En Couple,2,true,8077 AJ 88
28387,19,M,431,En Couple,1,true,4982 XX 88
28398,60,M,890,En Couple,4,true,4757 CD 25
28429,48,M,1350,En Couple,0,true,1605 FR 58
28431,32,M,565,En Couple,0,true,9049 PP 80
28437,70,M,481,En Couple,1,true,6930 RE 91
28440,75,M,575,En Couple,1,true,6377 DH 10
28456,47,F,996,En Couple,0,true,9715 HM 70
28458,23,M,849,En Couple,3,true,1248 MR 30
28468,84,F,1285,En Couple,3,true,4946 GK 53
28483,21,M,936,En Couple,1,true,7714 OC 76
28485,39,M,204,En Couple,0,true,3625 RW 66
28486,49,M,1155,En Couple,0,true,1411 QG 17
28502,53,M,209,En Couple,2,true,9325 IJ 71
28521,39,M,1349,En Couple,0,true,4330 UI 14
28522,47,M,447,En Couple,4,true,2419 IT 43
28524,44,M,1337,En Couple,3,true,2312 AQ 20
28536,74,M,922,En Couple,3,true,8326 AR 72
28537,30,F,504,En Couple,2,true,255 TC 11
28555,60,M,206,En Couple,2,true,8671 KH 44
28558,80,F,1305,En Couple,3,true,7935 LU 81
28559,61,F,755,En Couple,1,true,6509 QM 57
28568,28,M,502,En Couple,1,true,720 CU 55
28569,77,M,197,En Couple,3,true,9784 TC 19
28574,18,F,435,En Couple,1,true,4243 FE 32
28578,18,M,543,En Couple,0,true,7606 YQ 95
28582,45,F,233,En Couple,2,true,9289 ML 93
28587,51,M,771,En Couple,3,true,4353 KE 98
28591,46,M,729,En Couple,4,true,5036 LO 72
28598,52,M,402,En Couple,3,true,1968 PM 41
28619,39,M,538,En Couple,0,true,7428 JR 34
28625,19,M,481,En Couple,2,true,3642 BV 96
28635,46,F,551,En Couple,3,true,971 AI 50
28641,22,M,1272,En Couple,3,true,6227 DJ 94
28663,39,M,199,En Couple,3,true,5157 CR 27
28669,69,F,475,En Couple,4,true,5210 GK 49
28675,53,M,583,En Couple,1,true,9464 HI 14
28688,18,M,221,En Couple,2,true,4905 PE 65
28698,27,F,507,En Couple,0,true,5315 JH 76
28701,33,M,444,En Couple,2,true,2672 DD 73
28703,35,M,467,En Couple,0,true,8100 MB 14
28708,53,F,586,En Couple,1,true,545 YH 56
28712,26,F,899,En Couple,0,true,699 TJ 93
28716,30,M,189,En Couple,2,true,2644 EU 63
28722,74,M,467,En Couple,0,true,4984 UA 53
28734,57,M,1339,En Couple,3,true,8743 HV 16
28745,78,M,1167,En Couple,1,true,741 XD 59
28751,24,M,448,En Couple,4,true,1387 RJ 97
28757,30,M,574,En Couple,4,true,940 VN 83
28760,53,M,1018,En Couple,0,true,6162 BL 97
28764,58,F,497,En Couple,0,true,989 IG 46
28766,45,F,225,En Couple,4,true,1671 RI 39
28771,70,M,826,En Couple,0,true,114 PX 90
28774,36,F,235,En Couple,0,true,1434 HM 66
28778,24,M,982,En Couple,1,true,9700 UB 87
28780,58,M,426,En Couple,4,true,2513 YR 18
28787,21,M,1057,En Couple,0,true,3397 HZ 88
28795,43,F,543,En Couple,3,true,1546 VR 82
28796,49,M,925,En Couple,2,true,3452 EU 39
28798,59,M,504,En Couple,4,true,3729 OG 90
28821,75,F,523,En Couple,4,true,7162 BT 31
28830,18,M,984,En Couple,1,true,7170 BE 31
28833,45,F,518,En Couple,0,true,7293 EK 41
28837,21,M,481,En Couple,4,true,6674 VV 76
28848,55,M,995,En Couple,3,true,233 PJ 52
28860,26,F,462,En Couple,4,true,1572 WO 60
28862,21,M,1358,En Couple,1,true,1180 PB 14
28874,26,M,576,En Couple,1,true,484 IV 71
28885,43,M,1303,En Couple,2,true,7146 HV 49
28887,47,M,520,En Couple,3,true,5083 JY 38
28890,54,M,1153,En Couple,2,true,7329 QC 35
28891,63,F,555,En Couple,0,true,2181 QE 22
28898,61,M,487,Marié(e),3,true,2969 TP 90
28908,51,F,551,?,2,true,9778 NY 45
28912,40,F,555,En Couple,1,true,100 RJ 95
28913,18,M,161,En Couple,3,true,3077 CP 91
28928,27,M,790,En Couple,0,true,4667 NC 75
28972,54,F,742,En Couple,1,true,8693 TU 42
28976,28,M,817,En Couple,1,true,1314 KH 22
28986,46,M,1347,En Couple,2,true,9643 XC 77
28988,20,F,595,En Couple,0,true,8169 KS 27
28990,19,Masculin,433,En Couple,3,true,9498 IQ 34
28995,56,M,430,En Couple,1,true,9648 JJ 11
28997,29,M,476,En Couple,1,true,9935 OW 30
29004,73,F,563,En Couple,2,true,99 WY 44
29008,31,M,911,En Couple,3,true,6605 EO 80
29012,70,M,494,En Couple,3,true,2259 HE 19
29020,19,F,415,En Couple,0,true,5956 FX 96
29038,43,M,595,En Couple,2,true,4200 ZX 70
29042,18,M,553,En Couple,2,true,2617 NF 53
29048,49,M,1194,En Couple,0,true,3227 BC 48
29049,54,F,567,En Couple,1,true,4642 ZE 30
29058,27,F,486,En Couple,4,true,8833 CH 91
29064,59,F,201,En Couple,4,true,717 SX 65
29073,25,F,593,En Couple,0,true,5215 SP 34
29085,44,F,191,En Couple,1,true,5401 JN 95
29095,48,M,522,En Couple,3,true,4438 GT 91
29101,24,M,584,En Couple,3,true,1459 ZO 19
29102,51,M,200,En Couple,1,true,6964 XW 84
29104,49,F,410,En Couple,0,true,4339 OH 67
29109,71,M,1257,En Couple,0,true,899 FG 81
29123,34,M,1253,En Couple,3,true,2695 HN 34
29148,78,M,404,En Couple,1,true,5043 UH 40
29175,20,M,441,En Couple,3,true,1408 QG 94
29191,39,F,864,En Couple,0,true,9232 RN 97
29196,20,F,900,En Couple,2,true,1772 FB 93
29198,21,Masculin,1366,En Couple,0,true,7268 NL 82
29221,76,M,423,En Couple,2,true,3573 QN 98
29259,40,M,195,En Couple,0,true,1171 KD 81
29264,50,F,487,En Couple,1,true,4731 RM 42
29265,53,M,1240,En Couple,3,true,5458 YF 93
29267,26,M,469,En Couple,0,true,9285 DO 66
29270,32,M,500,En Couple,4,true,3088 VX 21
29274,25,M,577,En Couple,1,true,2228 WU 26
29278,56,F,483,En Couple,3,true,4774 TG 66
29284,43,F,1338,En Couple,1,true,1954 XC 25
29292,55,F,483,En Couple,3,true,9315 JX 80
29297,26,M,444,En Couple,1,true,6926 WI 96
29298,60,M,189,En Couple,1,true,2955 WN 64
29303,83,F,787,En Couple,1,true,851 UZ 82
29335,26,M,402,En Couple,4,true,9441 HP 96
29349,75,M,533,En Couple,0,true,8992 GY 31
29377,58,M,427,En Couple,4,true,7033 IF 70
29381,44,M,523,En Couple,2,true,5824 YW 23
29382,47,M,482,En Couple,1,true,9726 BJ 28
29391,70,F,461,En Couple,0,true,5652 GH 41
29397,70,M,555,En Couple,1,true,1541 CM 35
29412,43,M,564,En Couple,1,true,2618 IP 33
29414,24,M,598,En Couple,3,true,2107 RR 34
29422,24,M,199,En Couple,0,true,2954 FV 88
29431,54,F,163,En Couple,0,true,2813 WX 64
29437,30,M,509,En Couple,3,true,1865 CI 67
29438,56,M,1037,En Couple,4,true,1105 SN 91
29441,82,M,946,En Couple,2,true,9014 MK 31
29453,53,M,530,En Couple,0,true,1909 DR 84
29473,67,M,464,En Couple,1,true,9798 LA 14
29477,29,F,978,En Couple,2,true,2548 FH 51
29479,29,F,164,En Couple,4,true,5112 WY 78
29493,80,F,1291,En Couple,1,true,2537 HZ 78
29495,71,M,408,En Couple,3,true,2414 FH 93
29514,18,M,1125,En Couple,0,true,8816 FP 75
29515,44,M,892,En Couple,3,true,1995 ZP 13
29523,43,M,1360,En Couple,4,true,4110 TZ 76
29526,84,M,414,En Couple,4,true,7894 SR 42
29528,58,M,1093,En Couple,3,true,9134 PI 54
29530,21,M,195,En Couple,1,true,5698 IQ 32
29531,25,M,582,En Couple,4,true,7098 LG 10
29537,35,M,441,En Couple,4,true,8887 BY 81
29539,21,M,578,En Couple,1,true,7235 NY 86
29557,26,M,561,En Couple,4,true,3422 MO 18
29573,62,M,168,En Couple,2,true,7596 FH 67
29574,27,M,556,En Couple,1,true,8074 EC 67
29587,21,Féminin,459,En Couple,2,true,4281 TT 67
29588,57,M,175,En Couple,2,true,978 NJ 73
29590,24,M,1348,En Couple,0,true,5765 UO 84
29600,76,F,471,En Couple,4,true,1696 MV 31
29617,20,F,172,Marié(e),1,true,5066 LS 83
29618,45,F,552,En Couple,3,true,8247 ZI 44
29624,24,F,585,En Couple,1,true,1630 LV 30
29647,53,M,596,En Couple,2,true,3820 BB 51
29652,25,Femme,468,En Couple,4,true,5814 CT 69
29658,23,M,458,En Couple,2,true,1246 UQ 40
29665,64,M,208,En Couple,3,true,3646 VS 59
29666,75,M,479,En Couple,1,true,4008 UZ 75
29671,57,F,165,En Couple,2,true,2291 XB 25
29689,34,M,475,En Couple,0,true,5278 UT 13
29704,58,M,496,En Couple,1,true,629 MD 92
29719,47,M,951,En Couple,4,true,4015 DT 55
29734,70,M,563,En Couple,0,true,5246 XM 18
29742,81,M,742,En Couple,4,true,6627 QP 18
29759,25,M,1015,En Couple,3,true,5014 GF 37
29763,68,M,416,En Couple,0,true,3237 QW 97
29773,19,M,1299,En Couple,0,true,7454 LX 18
29778,69,M,1384,En Couple,0,true,587 WH 88
29781,84,F,1321,En Couple,0,true,7392 LC 65
29784,42,M,700,En Couple,0,true,4141 DN 26
29793,39,M,574,En Couple,1,true,4317 QC 32
29806,32,M,403,En Couple,0,true,2692 FM 21
29813,68,M,194,En Couple,1,true,7159 AE 26
29819,71,M,1158,En Couple,2,true,7425 WW 39
29820,48,F,570,En Couple,2,true,6600 FJ 63
29823,29,F,587,En Couple,2,true,1913 LR 49
29828,24,M,154,En Couple,2,true,6496 KR 38
29839,23,M,518,En Couple,0,true,7679 KX 61
29851,19,M,470,En Couple,0,true,1327 YM 33
29853,49,F,1090,En Couple,1,true,4356 MP 79
29860,75,Masculin,1257,En Couple,1,true,6982 TW 21
29900,44,M,508,En Couple,2,true,4865 DO 53
29918,28,F,825,En Couple,3,true,5884 AR 73
29921,57,M,954,En Couple,1,true,7413 QS 10
29924,55,M,765,En Couple,4,true,603 NC 91
29961,19,M,196,En Couple,4,true,4360 CF 58
29966,46,M,500,En Couple,0,true,9052 LK 90
29971,25,F,904,En Couple,1,true,2151 OQ 94
29985,21,M,582,En Couple,0,true,4707 VY 74
29989,54,F,1054,En Couple,2,true,4434 OM 72
29994,61,M,444,En Couple,3,true,5909 DQ 53
29996,27,M,480,En Couple,3,true,8025 MX 20
30008,65,Femme,1364,En Couple,2,true,1754 VD 61
30017,24,M,1281,En Couple,4,true,5483 LH 27
30020,75,M,582,En Couple,2,true,1922 DW 90
30025,19,M,441,En Couple,1,true,5288 HB 42
30032,19,M,515,En Couple,3,true,8755 YR 84
30048,47,F,568,En Couple,2,true,1430 BQ 10
30052,34,M,418,En Couple,1,true,4923 VG 49
30058,22,F,754,En Couple,4,true,1448 DQ 96
30060,77,M,470,En Couple,1,true,4239 GI 69
30067,55,M, ,En Couple,2,true,181 VG 47
30074,77,M,971,En Couple,3,true,418 OJ 81
30081,58,F,438,En Couple,2,true,3837 KD 26
30087,44,F,452,En Couple,0,true,2466 BJ 56
30090,76,M,569,En Couple,0,true,2366 YF 76
30102,64,F,452,En Couple,0,true,9618 IU 28
30103,68,M,160,En Couple,3,true,8869 CO 64
30112,20,M,958,En Couple,2,true,9599 PN 50
30115,45,M,513,En Couple,0,true,8724 TR 11
30122,33,M,543,En Couple,2,true,4317 SO 37
30125,36,M,569,En Couple,1,true,3380 HN 24
30128,21,M,444,En Couple,0,true,8169 CO 73
30134,41,M,427,En Couple,3,true,782 GE 79
30136,52,M,182,En Couple,3,true,1203 WI 94
30148,45,M,944,En Couple,0,true,6552 GH 59
30151,29,M,1238,En Couple,2,true,2471 JF 73
30158,70,M,1390,En Couple,4,true,8491 AK 23
30163,22,M,413,En Couple,0,true,1033 TT 70
30165,46,M,191,En Couple,4,true,3396 DV 98
30182,27,Féminin,596,En Couple,1,true,9636 YZ 53
30194,34,M,509,En Couple,3,true,5910 TG 66
30195,54,M,440,En Couple,3,true,9248 FE 84
30219,44,F,950,En Couple,2,true,7738 TM 59
30228,62,M,1255,En Couple,2,true,7849 IU 90
30236,68,M,1280,En Couple,1,true,7778 DR 29
30242,35,M,468,En Couple,0,true,7869 YV 48
30244,46,M,998,En Couple,4,true,9986 WV 81
30247,50,F,860,En Couple,4,true,546 XP 49
30268,48,M,150,En Couple,3,true,5721 BK 83
30274,18,M,1147,En Couple,1,true,9196 BQ 49
30291,41,M,1277,En Couple,0,true,5721 YP 79
30293,34,M,1101,En Couple,3,true,3003 CP 61
30295,34,F,812,En Couple,4,true,1483 WH 14
30301,57,M,218,En Couple,4,true,6273 BQ 57
30310,22,M,596,En Couple,1,true,3052 LY 17
30312,51,M,1376,En Couple,4,true,9290 NU 51
30328,28,F,405,En Couple,1,true,3688 VC 51
30335,32,M,234,En Couple,0,true,8901 HT 37
30337,82,M,730,En Couple,2,true,5160 LB 20
30338,21,M,450,En Couple,1,true,3076 BW 14
30340,67,F,883,En Couple,2,true,9816 PC 80
30357,33,M,504,En Couple,1,true,8793 GF 82
30364,70,F,1050,En Couple,0,true,4670 CH 72
30368,26,F,401,En Couple,1,true,4183 IU 45
30371,54,Féminin,1266,En Couple,2,true,7815 MK 89
30392,24,M,493,En Couple,0,true,877 UP 30
30394,26,F,447,En Couple,3,true,3051 GM 66
30395,26,M,194,En Couple,4,true,90 PK 11
30400,25,F,1186,En Couple,4,true,9324 MJ 21
30402,25,M,194,En Couple,0,true,2398 EQ 49
30420,40,M,730,En Couple,0,true,1480 UF 61
30428,19,M,1201,En Couple,1,true,8103 GS 93
30432,21,M,1167,En Couple,2,true,9642 VB 48
30436,48,M,478,En Couple,1,true,3131 WS 57
30437,43,M,515,En Couple,0,true,9998 KK 52
30448,62,M,152,En Couple,2,true,9982 OK 23
30462,27,F,727,En Couple,1,true,1918 CS 50
30488,37,F,1314,En Couple,2,true,5726 WN 26
30494,39,M,213,En Couple,1,true,810 OL 18
30501,40,F,219,En Couple,3,true,4753 JE 36
30507,55,M,203,En Couple,1,true,7962 VO 48
30509,79,M,191,En Couple,0,true,3640 XE 32
30522,29,M,430,En Couple,4,true,9356 SV 22
30529,80,M,202,En Couple,2,true,5617 NU 63
30536,18,M,435,En Couple,1,true,5268 JQ 86
30549,39,F,501,En Couple,1,true,3072 TZ 83
30554,79,M,238,En Couple,3,true,494 BM 87
30558,27,M,467,En Couple,2,true,8331 WF 82
30559,65,F,455,En Couple,3,true,7454 QN 56
30570,33,F,1317,En Couple,0,true,2874 VB 55
30571,47,M,246,En Couple,1,true,7020 XT 68
30577,81,F,171,En Couple,2,true,7658 LL 49
30584,26,M,1331,En Couple,3,true,5066 RR 65
30590,53,M,540,En Couple,4,true,9792 ZJ 55
30614,45,F,486,En Couple,0,true,2318 XT 79
30617,60,F,208,En Couple,2,true,1110 FH 48
30624,54,M,513,En Couple,4,true,5198 NO 97
30627,76,M,405,En Couple,0,true,4554 RZ 31
30628,69,F,226,En Couple,1,true,4182 LE 70
30641,51,M,550,En Couple,0,true,2317 TN 58
30642,71,M,232,En Couple,4,true,9310 LQ 40
30645,74,M,175,En Couple,4,true,5786 GU 90
30652,57,M,189,En Couple,1,true,4777 DU 78
30664,41,M,421,En Couple,0,true,4719 HO 52
30665,26,M,463,En Couple,2,true,9637 JH 90
30672,52,F,1118,En Couple,2,true,4545 OR 13
30692,19,F,1219,En Couple,2,true,1267 BI 44
30695,41,M,446,En Couple,0,true,97 HJ 66
30705,76,F,489,En Couple,4,true,3090 JM 51
30718,54,F,570,En Couple,1,true,9049 ZT 80
30739,57,F,185,En Couple,4,true,490 KD 28
30742,48,M,595,En Couple,4,true,6929 RT 64
30748,61,M,1318,En Couple,0,true,8449 ME 90
30752,21,M,184,En Couple,2,true,2278 XV 78
30757,21,F,1382,En Couple,3,true,2656 LB 40
30776,49,M,460,En Couple,1,true,9449 VX 86
30779,70,M,581,En Couple,2,true,8239 LM 11
30782,30,M,545,En Couple,2,true,209 YL 93
30786,48,M,1104,En Couple,2,true,8611 VL 95
30791,31,F,1073,En Couple,4,true,2085 VE 45
30802,40,F,400,En Couple,1,true,6258 FT 30
30804,32,M,1170,En Couple,1,true,1565 EF 16
30814,37,M,1017,En Couple,4,true,6146 YW 81
30831,62,M,564,En Couple,2,true,7311 TZ 77
30839,21,M,596,En Couple,2,true,2611 EQ 80
30840,71,M,1221,En Couple,3,true,7469 SY 87
30843,42,M,150,En Couple,0,true,1801 RC 15
30845,76,M,1156,En Couple,0,true,2133 EB 65
30846,74,M,579,En Couple,3,true,3115 HQ 68
30860,29,M,444,En Couple,1,true,565 NH 74
30863,18,M,457,En Couple,2,true,1553 FD 22
30881,68,M,549,En Couple,1,true,259 YL 14
30884,64,M,493,En Couple,0,true,1814 FL 34
30889,23,M,186,En Couple,1,true,298 CE 71
30892,58,M,858,En Couple,4,true,7225 OV 52
30906,42,M,499,En Couple,1,true,5472 MN 47
30910,46,F,464,En Couple,2,true,5063 GP 81
30912,59,F,197,En Couple,1,true,3795 UC 18
30914,19,M,154,En Couple,3,true,3317 MJ 67
30920,27,F,543,En Couple,2,true,9211 TP 80
30925,80,M,1330,En Couple,1,true,3645 UO 36
30931,19,M,590,En Couple,1,true,1027 CE 31
30936,54,M,947,En Couple,2,true,3602 ZL 66
30940,32,Homme,733,En Couple,1,true,5733 TT 79
30942,21,M,1036,En Couple,4,true,2234 HV 78
30955,73,F,154,En Couple,1,true,4034 IA 65
30976,30,M,597,En Couple,4,true,7143 QQ 82
30979,24,M,409,En Couple,4,true,8367 IK 85
30992,28,M,443,En Couple,2,true,5899 VG 92
30995,47,M,1389,En Couple,0,true,3243 FU 41
31011,39,F,547,En Couple,1,true,4635 BH 79
31030,50,M,154,En Couple,1,true,6778 BE 95
31056,33,M,835,En Couple,2,true,2106 DW 79
31059,76,F,544,En Couple,4,true,4036 GO 87
31061,19,M,532,En Couple,1,true,2746 GE 96
31069,19,F,537,En Couple,4,true,4564 AY 62
31073,77,F,1378,En Couple,2,true,5983 JT 22
31101,26,M,485,En Couple,0,true,9327 QE 26
31108,41,M,525,En Couple,2,true,668 JO 65
31134,59,M,554,En Couple,3,true,5436 BF 68
31137,22,M,861,En Couple,2,true,3858 RN 87
31142,30,F,503,En Couple,0,true,1804 UF 40
